=== host: a14  date: 2026年  7月  5日 日曜日 22:51:00 JST ===

############## fp32_bare_u16 ##############
./e2_bare_u16,1024,9.8421087100000004e-01,8192,1.2014292858886719e-04,8.7277379727296257e+09,1.9201023540005176e+11,32,32
./e2_bare_u16,2048,5.0519990599999998e-01,2048,2.4667964160156249e-04,1.7003040756701963e+10,3.7406689664744318e+11,32,32
./e2_bare_u16,4096,1.0087429990000001e+00,2048,4.9255029248046879e-04,3.4061934905185890e+10,7.4936256791408960e+11,32,32
./e2_bare_u16,8192,1.0084100660000002e+00,1024,9.8477545507812516e-04,6.8146361339475151e+10,1.4992199494684534e+12,32,32
./e2_bare_u16,16384,1.0094978250000000e+00,512,1.9716754394531249e-03,1.3614586388237141e+11,2.9952090054121709e+12,32,32
./e2_bare_u16,32768,1.0117763140000000e+00,256,3.9522512265625000e-03,2.7167853520634998e+11,5.9769277745396992e+12,32,32
./e2_bare_u16,65536,1.0183070290000000e+00,128,7.9555236640625002e-03,5.3987235502820044e+11,1.1877191810620410e+13,32,32
./e2_bare_u16,131072,1.0376717530000001e+00,64,1.6213621140625002e-02,1.0595948329490664e+12,2.3311086324879461e+13,32,32
./e2_bare_u16,262144,1.0237859860000000e+00,16,6.3986624125000002e-02,1.0739662808551083e+12,2.3627258178812383e+13,32,32
./e2_bare_u16,524288,7.8421688300000003e-01,4,1.9605422075000001e-01,1.4020504424360881e+12,3.0845109733593938e+13,32,32
./e2_bare_u16,1048576,6.5207066300000005e-01,1,6.5207066300000005e-01,1.6861847805227820e+12,3.7096065171501203e+13,32,32

############## fp32_bare_u128 ##############
./e2_bare_u128,1024,9.6668023200000008e-01,8192,1.1800295800781251e-04,8.8860145347422390e+09,1.9549231976432925e+11,32,32
./e2_bare_u128,2048,5.1167005100000007e-01,2048,2.4983889208984378e-04,1.6788034740770863e+10,3.6933676429695898e+11,32,32
./e2_bare_u128,4096,1.0365107950000001e+00,2048,5.0610878662109380e-04,3.3149426454357376e+10,7.2928738199586230e+11,32,32
./e2_bare_u128,8192,1.0368106770000001e+00,1024,1.0125104267578126e-03,6.6279676955911591e+10,1.4581528930300549e+12,32,32
./e2_bare_u128,16384,1.0381171470000001e+00,512,2.0275725527343753e-03,1.3239252801976883e+11,2.9126356164349141e+12,32,32
./e2_bare_u128,32768,1.0414806770000000e+00,256,4.0682838945312501e-03,2.6392991537374438e+11,5.8064581382223770e+12,32,32
./e2_bare_u128,65536,1.0484636060000001e+00,128,8.1911219218750008e-03,5.2434420302424872e+11,1.1535572466533473e+13,32,32
./e2_bare_u128,131072,1.0678022800000000e+00,64,1.6684410625000000e-02,1.0296958981732086e+12,2.2653309759810590e+13,32,32
./e2_bare_u128,262144,1.0333775470000002e+00,16,6.4586096687500011e-02,1.0639979850229896e+12,2.3407955670505773e+13,32,32
./e2_bare_u128,524288,7.9675044000000006e-01,4,1.9918761000000001e-01,1.3799950054323157e+12,3.0359890119510945e+13,32,32
./e2_bare_u128,1048576,6.6281406300000001e-01,1,6.6281406300000001e-01,1.6588538010184011e+12,3.6494783622404828e+13,32,32
=== done: 2026年  7月  5日 日曜日 22:51:25 JST ===
