=== host: a14  date: 2026年  7月  5日 日曜日 22:42:25 JST ===
FP32 gap attribution: baseline / bare-rsq(no guard) / unroll128 / bare+unroll128

############## exp_base ##############
./exp_base,131072,6.9162666300000009e-01,32,2.1613333218750003e-02,7.9487365554037341e+11,1.7487220421888215e+13,32,32
./exp_base,262144,6.3904174000000002e-01,8,7.9880217500000003e-02,8.6028154262349121e+11,1.8926193937716805e+13,32,32
./exp_base,524288,9.5462698100000010e-01,4,2.3865674525000002e-01,1.1517709531153508e+12,2.5338960968537719e+13,32,32
./exp_base,1048576,7.9442449000000004e-01,1,7.9442449000000004e-01,1.3840354138327231e+12,3.0448779104319910e+13,32,32

############## exp_bare ##############
./exp_bare,131072,1.1343214460000002e+00,64,1.7723772593750003e-02,9.6931221009110657e+11,2.1324868622004344e+13,32,32
./exp_bare,262144,1.0359157380000001e+00,16,6.4744733625000009e-02,1.0613909871654058e+12,2.3350601717638926e+13,32,32
./exp_bare,524288,7.7157670700000003e-01,4,1.9289417675000001e-01,1.4250192078128662e+12,3.1350422571883055e+13,32,32
./exp_bare,1048576,6.4229503799999998e-01,1,6.4229503799999998e-01,1.7118482359753184e+12,3.7660661191457000e+13,32,32

############## exp_unroll ##############
./exp_unroll,131072,6.7243431200000003e-01,32,2.1013572250000001e-02,8.1756062127894507e+11,1.7986333668136793e+13,32,32
./exp_unroll,262144,6.5043713600000008e-01,8,8.1304642000000010e-02,8.4520975734694202e+11,1.8594614661632723e+13,32,32
./exp_unroll,524288,1.0011208940000000e+00,4,2.5028022350000001e-01,1.0982805716728953e+12,2.4162172576803695e+13,32,32
./exp_unroll,1048576,8.3220881900000010e-01,1,8.3220881900000010e-01,1.3211967990163774e+12,2.9066329578360305e+13,32,32

############## exp_bare_unroll ##############
./exp_bare_unroll,131072,1.0678069860000001e+00,64,1.6684484156250002e-02,1.0296913601350046e+12,2.2653209922970102e+13,32,32
./exp_bare_unroll,262144,1.0320088840000001e+00,16,6.4500555250000008e-02,1.0654090723660862e+12,2.3438999592053895e+13,32,32
./exp_bare_unroll,524288,7.9674159900000008e-01,4,1.9918539975000002e-01,1.3800103184721499e+12,3.0360227006387297e+13,32,32
./exp_bare_unroll,1048576,6.6302443200000005e-01,1,6.6302443200000005e-01,1.6583274683548916e+12,3.6483204303807617e+13,32,32
=== done: 2026年  7月  5日 日曜日 22:42:44 JST ===
